,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
128,2458616,13.363029523987517,13.04685850725362,14.02901675776965,12.913029523987518,12.83685850725362,14.00901675776965
129,2458617,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
130,2458618,13.5297226850133,13.189969475469962,14.238479821237963,13.079722685013301,12.97996947546996,14.218479821237963
131,2458619,13.62881126328202,13.283659553487762,14.375886976130257,13.178811263282022,13.073659553487762,14.355886976130257
132,2458620,13.634693728467152,13.293828488744705,14.387610200159383,13.184693728467153,13.083828488744704,14.367610200159383
133,2458621,13.528101693372637,13.183630005464028,14.232970784206596,13.078101693372638,12.973630005464027,14.212970784206597
134,2458622,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
135,2458623,13.363029523987517,13.04685850725362,14.02901675776965,12.913029523987518,12.83685850725362,14.00901675776965
136,2458624,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
137,2458625,13.488573013147626,13.15211806300685,14.183905304652708,13.038573013147627,12.942118063006848,14.163905304652708
138,2458626,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
139,2458627,13.637768682846318,13.295415169258288,14.391075775785165,13.187768682846318,13.085415169258287,14.371075775785165
140,2458628,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
141,2458629,13.460789028311172,13.127550819095358,14.148177392523078,13.010789028311173,12.917550819095357,14.128177392523078
142,2458630,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
143,2458631,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
144,2458632,13.44685223959787,13.115460973788625,14.13053788691187,12.996852239597871,12.905460973788625,14.110537886911871
145,2458633,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
146,2458634,13.632880160601086,13.285635770097752,14.38035448397854,13.182880160601087,13.075635770097751,14.36035448397854
147,2458635,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
148,2458636,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
149,2458637,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
150,2458638,13.363094718092281,13.044304202222012,14.027496604908794,12.913094718092282,12.834304202222011,14.007496604908795
151,2458639,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
152,2458640,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
153,2458641,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
154,2458642,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
155,2458643,13.54155180044921,13.196289649518828,14.251167485667136,13.09155180044921,12.986289649518827,14.231167485667136
156,2458644,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
157,2458645,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
158,2458646,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
159,2458647,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
160,2458648,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
161,2458649,13.63338983939035,13.285841282095856,14.380886342511001,13.183389839390351,13.075841282095855,14.360886342511002
162,2458650,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
163,2458651,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
164,2458652,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
165,2458653,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
166,2458654,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
167,2458655,13.548260891126017,13.205571956236152,14.262430181012089,13.098260891126017,12.995571956236152,14.24243018101209
168,2458656,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
169,2458657,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
170,2458658,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
171,2458659,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
172,2458660,13.351280927270825,13.040360646729898,14.01700346776887,12.901280927270825,12.830360646729897,13.99700346776887
173,2458661,13.39890195541695,13.077141290974321,14.072753524055198,12.94890195541695,12.86714129097432,14.052753524055198
174,2458662,13.514525883553045,13.171104695895199,14.214873242590382,13.064525883553046,12.961104695895198,14.194873242590383
175,2458663,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
176,2458664,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
177,2458665,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
178,2458666,13.450822220149714,13.117914392008966,14.134970494813064,13.000822220149715,12.907914392008966,14.114970494813065
179,2458667,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
180,2458668,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
181,2458669,13.459404464122965,13.122306019368455,14.143695482016188,13.009404464122966,12.912306019368454,14.123695482016188
182,2458670,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
183,2458671,13.650767793502407,13.309918071186697,14.411186491265784,13.200767793502408,13.099918071186696,14.391186491265785
184,2458672,13.592883040370662,13.247520316186385,14.32375124503302,13.142883040370663,13.037520316186384,14.30375124503302
185,2458673,13.487086842030177,13.146448920027563,14.179021669798072,13.037086842030178,12.936448920027562,14.159021669798072
186,2458674,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
187,2458675,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
188,2458676,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
189,2458677,13.54155180044921,13.196289649518828,14.251167485667136,13.09155180044921,12.986289649518827,14.231167485667136
190,2458678,13.634693728467152,13.293828488744705,14.387610200159383,13.184693728467153,13.083828488744704,14.367610200159383
191,2458679,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
192,2458680,13.528101693372637,13.183630005464028,14.232970784206596,13.078101693372638,12.973630005464027,14.212970784206597
193,2458681,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
194,2458682,13.365479696951734,13.05197857286846,14.034040588868688,12.915479696951735,12.84197857286846,14.014040588868689
